workerid,proliferate.condition,big_filler,cond,instruction,loc_big_filler,loc_contrast,loc_small_filler,loc_target_pic,pragContext,response,response_times,small_filler,target_contrast_bad,target_contrast_good,target_pic,trial,trialID,trialType,trial_number,utterance_type,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,subject_information.problems,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
17,condition1,chick_big.jpg,contrast_control,Click on the helmet,.loc3,.loc1,.loc2,.loc4,bad,"['loc4', 'loc4']","[9696, 11538]",chick_small.jpg,helmet_small.jpg,cables_small.jpg,helmet_big.jpg,185,filler65,filler,3,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,iguana_big.jpg,contrast_control,Click on the firealarm,.loc1,.loc4,.loc3,.loc2,bad,"['loc2', 'loc2']","[1975, 3023]",iguana_small.jpg,firealarm_small.jpg,leash_small.jpg,firealarm_big.jpg,233,filler113,filler,4,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,pinecone_big.jpg,no_contrast,Click on the boots,.loc3,.loc1,.loc2,.loc4,bad,"['loc1', 'loc1']","[1584, 2284]",pancakes_small.jpg,boots_big.jpg,paperbag_big.jpg,boots_small.jpg,81,train41,train,5,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,microwave_big.jpg,contrast,Click on the small bottle,.loc1,.loc3,.loc2,.loc4,bad,"['loc1', 'loc4', 'loc4']","[2926, 5914, 6738]",paperclips_small.jpg,bottle_big.jpg,bottle_big.jpg,bottle_small.jpg,15,test15,test,6,modified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,pineapple_big.jpg,contrast_control,Click on the cork,.loc4,.loc3,.loc2,.loc1,bad,"['loc1', 'loc1']","[1628, 2584]",pineapple_small.jpg,cork_small.jpg,toolbox_small.jpg,cork_big.jpg,201,filler81,filler,7,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,ostrich_big.jpg,no_contrast,Click on the buffalo,.loc3,.loc2,.loc4,.loc1,bad,"['loc1', 'loc1']","[1284, 2105]",potato_small.jpg,buffalo_small.jpg,mask_small.jpg,buffalo_big.jpg,82,train42,train,8,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,crutches_big.jpg,semantic_contrast,Click on the round tupperware,.loc3,.loc2,.loc4,.loc1,bad,"['loc3', 'loc1', 'loc1']","[2483, 4222, 4920]",powder_small.jpg,rockingchair.jpg,tupperware_rectangular.jpg,tupperware_round.jpg,162,filler42,filler,9,modified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,asparagus_big.jpg,no_contrast,Click on the triangle,.loc4,.loc1,.loc3,.loc2,bad,"['loc1', 'loc1']","[1295, 2119]",leash_small.jpg,triangle_big.jpg,yarn_big.jpg,triangle_small.jpg,107,train67,train,10,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,beachtowels_big.jpg,semantic_contrast,Click on the dog robot,.loc4,.loc1,.loc3,.loc2,bad,"['loc1', 'loc2', 'loc2']","[1305, 2648, 3539]",boxcutter_small.jpg,flipflops.jpg,robot_person.jpg,robot_dog.jpg,135,filler15,filler,11,modified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
17,condition1,spicerack_rectangle.jpg,semantic_control,Click on the snowflake,.loc3,.loc4,.loc1,.loc2,bad,"['loc1', 'loc4']","[1305, 2882]",spicerack_shelves.jpg,snowflake_big.jpg,brusselsprout_big.jpg,snowflake_small.jpg,258,filler138,filler,12,unmodified,[],23,Yes,,4,1,5.00 USD,Female,English,no,Firefox,Windows,720,1280,17.013166666666667,
