workerid,proliferate.condition,age,asses,comments,education,enjoyment,fairprice,gender,language,problems,error
58,condition1,25,Yes,,3,1,3.00,Female,English,,
80,condition1,26,Yes,,3,2,Whatever it was going to pay me!,Female,English,,
23,condition1,20,Yes,Very interesting and fun never did something like this before.,2,1,$3.00,Male,English,None,
85,condition1,21,Yes,,2,-1,,Female,English,,
72,condition1,24,Yes,,3,1,3.00,Female,English,No,
28,condition1,20,Yes,,2,1,,Male,English,,
45,condition1,18,Yes,,1,1,2.50,Male,English,,
65,condition1,24,Yes,none,3,1,$3,Female,english,no,
64,condition1,28,Yes,,3,1,No idea,Male,English,,
75,condition1,29,Yes,,2,1,,Male,English,,
24,condition1,54,Confused,"I was expecting a description first, but I had to click then I received a hint...",2,2,2.37,Female,English,None,
22,condition1,30,Yes,,1,2,$4.00,Male,English,No,
67,condition1,35,Yes,,4,1,Yes,Female,English,No,
31,condition1,26,Yes,Fun and not anxiety-inducing.,2,2,2.00,Other,English,"Picture loading started to lag about half way through, but eventually caught up. ",
25,condition1,20,Yes,,2,2,,Female,Spanish,,
86,condition1,26,Yes,,3,1,3.00 USD,Female,English,No,
42,condition1,21,Yes,I don't have much to say about the experiment. I guess it was rather interesting.,1,1,$1,Female,english,"No, there wasn't any problems",
39,condition1,33,Yes,,1,2,2.50,Female,English,No,
90,condition1,28,Yes,,3,2,$4,Female,English,No,
81,condition1,41,Yes,,3,1,,Female,english,,
60,condition1,21,Yes,,2,1,$3,Female,English,No,
88,condition1,25,Yes,,2,2,5.00,Female,English,None other than the occasional slow loading time but that may have been on my end.,
68,condition1,27,Yes,,2,2,3.00,Female,English,,
17,condition1,23,Yes,,4,1,5.00 USD,Female,English,no,
27,condition1,22,Yes,,2,1,2.00,Other,English,,
29,condition1,26,Yes,,2,1,2.00,Male,Spanish,,
74,condition1,26,Yes,,4,2,$3.30,Female,English,It seemed like it would quickly skip over a page sometimes after I clicked an answer??,
36,condition1,24,Yes,None,3,1,$2.50,Female,English and Mandarin,No,
48,condition1,23,Yes,,3,1,$4,Male,English,,
63,condition1,25,Yes,,3,-1,,Female,English,a few misspellings (i.e. missed spaces),
13,condition1,22,,,-1,-1,,,,no,
43,condition1,28,Yes,,3,1,2,Female,,,
41,condition1,60,Yes,There is no comments,4,2,$10,Male,English,,
30,condition1,21,Yes,,2,1,,Female,English,,
82,condition1,34,Yes,n/a ,3,1,4,Female,English,no,
44,condition1,22,Yes,,2,0,$3,Male,English,"Yes, my connection was poor and sometimes “double clicked”.",
87,condition1,47,Yes,,1,2,4.55,Female,english,no,
37,condition1,,Confused,I have no idea what I just did. It felt mind-numbingly boring and arbitrary.,2,0,"£2.37, like what was on Prolific",Other,,None,
70,condition1,32,Yes,,2,1,$3.30,Female,English,,
77,condition1,29,Yes,,2,1,3,Female,English,No,
84,condition1,31,Yes,"As a writer, I enjoyed the free-associations implied between the images presented, with one exception: I think showing a Quran directly above a military tank was a little insensitive and irresponsible.",2,-1,$20/hr should be considered the bare minimum for anybody's time. But we take what we can get.,Other,English,,
53,condition1,29,Yes,,2,1,3.25 usd,Male,English,N/A,
16,condition1,29,Yes,N/A,2,1,3.00,Male,English,No,
46,condition1,25,Yes,,2,2,3.00,Male,English,no,
83,condition1,21,Yes,"I started to go faster at the end, because I was more confident, but I ended up getting a couple wrong even after seeing the whole sentence because I was clicking so fast.",1,2,$3,Male,English,No problems or bugs,
26,condition1,33,Yes,n/a,1,1,4.00,Male,English,n/a,
66,condition1,19,No,,1,1,Yes,Female,English,,
19,condition1,21,Yes,,2,2,$4,Female,English,,
56,condition1,22,Yes,This was a change of pace from the normal experiments I do. It was fun! ,2,2,4,Male,English,,
32,condition1,27,Yes,,2,1,2.37,Female,English,A few of the images did not display.,
59,condition1,21,Yes,,2,1,yes,Female,English,,
40,condition1,22,Yes,,2,1,$3,Female,English,no,
61,condition1,59,Yes,none,2,2,no,Female,English,no,
49,condition1,21,Yes,,2,2,$5,Male,English,No,
47,condition1,36,Yes,,1,2,yes,Male,English,no,
57,condition1,69,Yes,not sure if it was completed right,3,1,not really,Female,english,no,
76,condition1,34,Yes,,2,1,3.5,Male,English,,
14,condition1,22,Yes,,-1,-1,,Female,,No,
69,condition1,40,Yes,,4,1,5,Female,english,no,
51,condition1,18,Yes,,1,1,Yes,Male,English,No,
38,condition1,28,Yes,,3,-1,,Male,English,,
91,condition1,35,Yes,"I hit 3 wrong on accident. Little embarrassing! Happens tho! The whole thing was fine, loaded fine. ",2,2,4,Female,English,,
78,condition1,21,Yes,,2,1,5.00,Female,English,"No, but the first click is necessary to have any idea what to choose as before then there is no description of the item.",
18,condition1,34,Yes,I'm going to adapt it for a game for my class--struggling middle school readers (would be good for sight reading),4,2,3.53,Female,English,no,
35,condition1,41,Yes,,4,2,5,Male,English,NO,
73,condition1,18,Yes,,1,2,$2.00,Female,English,,
62,condition1,29,Yes,,3,1,2.50,Female,English,No,
21,condition1,22,Yes,,2,1,$2.50,Female,English,None,
89,condition1,26,Yes,,3,1,,Male,English,No,
