workerid,proliferate.condition,time_in_minutes,error
58,condition1,17.73325,
80,condition1,19.4955,
23,condition1,15.776333333333334,
85,condition1,12.081483333333331,
72,condition1,23.474283333333332,
28,condition1,3.4767,
45,condition1,13.808333333333334,
65,condition1,10.61525,
64,condition1,14.22135,
75,condition1,19.986766666666668,
24,condition1,19.688783333333333,
22,condition1,18.8304,
67,condition1,15.617816666666666,
31,condition1,17.083716666666668,
25,condition1,21.983316666666667,
86,condition1,14.660183333333332,
42,condition1,29.246016666666662,
39,condition1,20.762933333333333,
90,condition1,25.92655,
81,condition1,22.116733333333332,
60,condition1,16.231616666666667,
88,condition1,17.3327,
68,condition1,16.472466666666666,
17,condition1,17.013166666666667,
27,condition1,17.40055,
29,condition1,21.030733333333337,
74,condition1,19.471,
36,condition1,22.984583333333333,
48,condition1,11.679733333333331,
63,condition1,20.666516666666663,
13,condition1,0.7144,
43,condition1,20.1881,
41,condition1,49.65796666666667,
30,condition1,14.15005,
82,condition1,15.219383333333331,
44,condition1,22.05303333333333,
87,condition1,39.62401666666667,
37,condition1,10.211866666666667,
70,condition1,31.300866666666668,
77,condition1,14.74995,
84,condition1,29.446533333333335,
53,condition1,14.4145,
16,condition1,14.2173,
46,condition1,23.066916666666668,
83,condition1,22.86365,
26,condition1,15.794766666666666,
66,condition1,22.741466666666668,
19,condition1,34.18438333333334,
56,condition1,13.198466666666668,
32,condition1,19.531883333333333,
59,condition1,12.4574,
40,condition1,14.728033333333334,
61,condition1,25.69633333333333,
49,condition1,17.201366666666665,
47,condition1,21.57665,
57,condition1,24.5331,
76,condition1,11.585366666666667,
14,condition1,0.7123166666666667,
69,condition1,17.40973333333333,
51,condition1,11.877266666666667,
38,condition1,19.310816666666668,
91,condition1,13.83975,
78,condition1,20.236533333333337,
18,condition1,24.685733333333335,
35,condition1,38.973483333333334,
73,condition1,17.62735,
62,condition1,16.825466666666667,
21,condition1,12.083733333333331,
89,condition1,21.702066666666667,
